institution,city,state,region,control,level,predominant_degree,admission_rate,sat_average,undergrad_enrollment,pct_pell_grant,pct_first_generation,median_family_income,cost_of_attendance,tuition_in_state,tuition_out_state,completion_rate,median_debt_at_graduation,median_earnings_6yr,median_earnings_10yr,earnings_p25_10yr,earnings_p75_10yr,pct_earning_over_25k_10yr,debt_to_earnings,latitude,longitude
ABC Beauty Academy,Richardson,TX,Southwest,Private for-profit,Less than 2-year,Certificate,,,52,0.9307,,,,,,0.8594,,19991,16263,11880,35488,,,32.931698,-96.685333
ASPIRA City College,Philadelphia,PA,Mid East,Private nonprofit,2-year,Associate,0.5,,8,0.7857,0.5833,7349,18252,12147,12147,0.5,,21998,34857,15520,53410,0.376,,40.017493,-75.135042
ATA Career Education,Spring Hill,FL,Southeast,Private for-profit,4-year,Certificate,,,201,0.9159,0.5444,16606,32225,14895,14895,0.6667,21030,29724,34577,18900,47451,,0.608,28.452699,-82.595376
ATA College,El Cajon,CA,Far West,Private for-profit,2-year,Certificate,,,80,0.8632,0.6739,10976,,,,0.8947,5500,35311,35017,23713,61513,,0.157,32.819023,-116.981781
ATA College,Tulsa,OK,Southwest,Private for-profit,2-year,Associate,,,193,0.7697,,25412,30905,18850,18850,0.3333,21308,37674,40823,19190,66403,,0.522,36.097005,-95.853281
ATA College,Louisville,KY,Southeast,Private for-profit,2-year,Associate,,,363,0.8368,0.5444,16606,31920,14200,14200,0.4615,21030,29724,34577,18900,47451,,0.608,38.223667,-85.563365
ATA College-Cincinnati,Cincinnati,OH,Great Lakes,Private for-profit,2-year,Certificate,,,266,0.8295,0.5444,16606,29920,14250,14250,0.625,21030,29724,34577,18900,47451,,0.608,39.29671,-84.478867
ATI College-Whittier,Whitter,CA,Far West,Private for-profit,4-year,Certificate,,,149,0.7044,,19274,,,,0.7222,28428,36256,38938,16706,58190,,0.73,33.948364,-118.003687
Aaniiih Nakoda College,Harlem,MT,Rocky Mountains,Public,4-year,Associate,,,106,0.6466,0.2877,14059,14974,3080,3080,0.3421,,19990,30528,10775,48923,0.405,,48.484196,-108.757816
Abcott Institute,Southfield,MI,Great Lakes,Private for-profit,Less than 2-year,Certificate,,,142,0.8165,0.61,10324,,,,0.9333,10411,20788,33151,,48892,,0.314,42.446331,-83.210617
Abilene Christian University,Abilene,TX,Southwest,Private nonprofit,4-year,Bachelor's,0.6603,1194,3195,0.2233,0.2445,67009,59256,44200,44200,0.5901,24250,46727,55736,36361,80010,0.761,0.435,32.468943,-99.709797
Abilene Christian University-Undergraduate Online,Addison,TX,Southwest,Private nonprofit,4-year,Bachelor's,1.0,,1219,0.7092,0.2445,67009,30295,14520,14520,,24250,46727,55736,36361,80010,0.761,0.435,32.977065,-96.826833
Abraham Baldwin Agricultural College,Tifton,GA,Southeast,Public,4-year,Bachelor's,0.7572,990,3208,0.3474,0.3443,36087,13956,3268,10588,0.3615,16750,35495,34996,19421,53296,0.629,0.479,31.481889,-83.528281
Academia Serrant Inc,Ponce,PR,Outlying Areas,Private for-profit,Less than 2-year,Certificate,,,156,0.7706,0.4531,0,,,,0.8779,,18264,18422,7373,32843,0.188,,18.009658,-66.61529
Academy College,Bloomington,MN,Plains,Private for-profit,4-year,Bachelor's,,,56,0.2571,0.3261,24907,33874,18680,18680,0.36,29500,45418,48300,26663,66423,0.673,0.611,44.855722,-93.299809
Academy Of Hair Design,Jasper,TX,Southwest,Private for-profit,Less than 2-year,Certificate,,,52,0.5735,0.6338,12513,,,,0.9355,11125,17071,20892,10303,34751,0.235,0.533,30.908648,-94.004879
Academy for Careers and Technology,Mullins,SC,Southeast,Public,Less than 2-year,Certificate,,,37,0.2667,,18530,,,,0.5714,,42099,46553,35714,58071,,,34.186433,-79.340157
Academy for Nursing and Health Occupations,West Palm Beach,FL,Southeast,Private nonprofit,2-year,Associate,,,558,0.6116,0.5297,19834,,,,0.4167,20293,39987,47039,25210,71405,0.635,0.431,26.70653,-80.121497
Academy of Art University,San Francisco,CA,Far West,Private for-profit,4-year,Bachelor's,,,3587,0.4104,0.4084,22550,48036,30736,30736,0.3432,31000,30452,39008,17463,65466,0.666,0.795,37.787943,-122.400578
Academy of Beauty Professionals,Madison,WI,Great Lakes,Private for-profit,Less than 2-year,Certificate,,,53,0.44,,18690,,,,0.9286,6333,19104,25117,10267,38010,0.276,0.252,43.05541,-89.490781
Academy of Beauty Professionals,Appleton,WI,Great Lakes,Private for-profit,Less than 2-year,Certificate,,,37,0.3628,,18690,,,,0.7917,6333,19104,25117,10267,38010,0.276,0.252,44.266271,-88.461527
Academy of Beauty Professionals,Raymore,MO,Plains,Private for-profit,Less than 2-year,Certificate,,,31,0.5614,,18690,,,,0.8182,6333,19104,25117,10267,38010,0.276,0.252,38.812989,-94.467053
Academy of Beauty Professionals,Green Bay,WI,Great Lakes,Private for-profit,Less than 2-year,Certificate,,,64,0.4552,,18690,,,,0.5556,6333,19104,25117,10267,38010,0.276,0.252,44.52349,-88.097926
Academy of Career Training,Kissimmee,FL,Southeast,Private for-profit,Less than 2-year,Certificate,,,100,0.2194,0.4892,12165,,,,0.8219,6105,17424,22029,7424,40530,,0.277,28.306092,-81.439569
Academy of Careers and Technology,Beckley,WV,Southeast,Public,Less than 2-year,Certificate,,,168,0.3843,0.552,17064,,,,0.8148,,33106,32756,19721,48367,0.526,,37.795299,-81.165435
Academy of Cosmetology,Merritt Island,FL,Southeast,Private for-profit,Less than 2-year,Certificate,,,50,0.4545,0.4872,11620,,,,0.3871,5500,19595,20144,6992,40139,0.179,0.273,28.394053,-80.70372
Academy of Esthetics and Cosmetology,San Fernando,CA,Far West,Private for-profit,Less than 2-year,Certificate,,,30,0.7021,,14517,,,,0.6667,,,35089,12972,45070,,,34.285043,-118.444228
Academy of Hair Design - Austin,Austin,TX,Southwest,Private for-profit,Less than 2-year,Not classified,,,,,0.4606,19822,,,,,9500,21250,25129,10620,41046,,0.378,,
Academy of Hair Design-Grenada,Grenada,MS,Southeast,Private for-profit,Less than 2-year,Certificate,,,21,0.7857,0.6,14124,,,,0.8889,6786,16877,22284,12923,35079,0.276,0.305,33.775198,-89.825313
Academy of Hair Design-Las Vegas,Las Vegas,NV,Far West,Private for-profit,Less than 2-year,Certificate,,,183,0.6487,0.4867,22338,,,,0.8506,6333,20399,24391,8940,41498,0.287,0.26,36.15846,-115.210473
Academy of Hair Design-Lufkin,Lufkin,TX,Southwest,Private for-profit,Less than 2-year,Certificate,,,74,0.6147,0.6338,12513,,,,0.6957,11125,17071,20892,10303,34751,0.235,0.533,31.330724,-94.718704
Academy of Hair Design-Pearl,Pearl,MS,Southeast,Private for-profit,Less than 2-year,Certificate,,,43,0.7966,,17522,,,,0.8333,6500,21382,19921,,,,0.326,32.281983,-90.115129
Academy of Hair Design-Springfield,Springfield,MO,Plains,Private for-profit,Less than 2-year,Certificate,,,275,0.6118,0.4606,19822,,,,0.6393,9500,21250,25129,10620,41046,,0.378,37.180584,-93.261354
Academy of Hair Technology,Greenville,SC,Southeast,Private for-profit,Less than 2-year,Certificate,,,58,0.3913,0.4947,15269,,,,1.0,3417,17132,22893,9958,38363,0.243,0.149,34.874681,-82.327426
Academy of Massage and Bodywork,Bear,DE,Mid East,Private for-profit,Less than 2-year,Certificate,,,81,0.4491,0.5243,22175,,,,,6333,27395,31204,10453,55057,,0.203,39.628779,-75.666786
Academy of Natural Therapy Inc,Greeley,CO,Rocky Mountains,Private for-profit,Less than 2-year,Certificate,,,13,0.6508,,23090,,,,,7917,22771,25770,11668,36681,,0.307,40.426259,-104.691075
Academy of Salon and Spa,Fort Smith,AR,Southeast,Private for-profit,Less than 2-year,Certificate,,,52,0.6638,0.5051,13269,,,,0.8049,4833,17132,16941,7805,31125,,0.285,35.38097,-94.41616
Adams State University,Alamosa,CO,Rocky Mountains,Public,4-year,Bachelor's,,,1250,0.378,0.4151,31933,24352,9824,21944,0.3942,19500,38338,44372,28262,64019,0.703,0.439,37.473636,-105.879642
Adelphi University,Garden City,NY,Mid East,Private nonprofit,4-year,Bachelor's,0.6591,1219,5276,0.3103,0.3542,51854,63189,49110,49110,0.6715,25000,63688,75482,49267,106760,0.835,0.331,40.721439,-73.653321
Adrian College,Adrian,MI,Great Lakes,Private nonprofit,4-year,Bachelor's,0.7253,1034,1604,0.3081,0.3101,68386,56003,41684,41684,0.4842,27000,42805,55504,39042,77195,0.686,0.486,41.898591,-84.061481
